sectorName,owningCompany,tagName
cigarette,altria,
cigar,altria,
smokeless tobacco,altria,
pipe tobacco,altria,
wine,altria,
beer brands,anheuser-busch inbev,
alternative alcoholic drinks,anheuser-busch inbev,
energy or health drinks,anheuser-busch inbev,
vehicle rental,avis budget group,
vehicle rental,enterprise holdings,
vehicle rental,hertz global holdings,
cigarette,british american tobacco,
tobacco,british american tobacco,
vapor/heated/modern oral products,british american tobacco,
tobacco operating companies/subsidiaries,british american tobacco,
soda,coca-cola,
water,coca-cola,
flavored drinks,coca-cola,
coffee,coca-cola,
oral care,colgate-palmolive,
personal & skincare,colgate-palmolive,
home care,colgate-palmolive,
pet care,colgate-palmolive,
snacks,conagra,
spreads/dressings,conagra,
pre-made meals/mixes,conagra,
canned,conagra,
dairy products,dean foods,
juice,dean foods,
eyewear,essilorluxxotica,
(eyewear) retail chains,essilorluxxotica,
lens crafters,essilorluxxotica,
perfume,estee lauder,
makeup,estee lauder,
skincare,estee lauder,
stay,expedia,
travel,expedia,
vehicle rental,expedia,
other (body building.com),expedia,
baking products,general mills,
cereal,general mills,
meal,general mills,
organic/natural,general mills,
snacks,general mills,
pet food,general mills,
bread,grupo bimbo,
processed snacks/candy,grupo bimbo,
chocolate,hershey,
candy,hershey,
snacks,hershey,
coffee,jab holding,
teas & water,jab holding,
soft drinks,jab holding,
bakery,jab holding,
juice drinks & mixers,jab holding,
makeup/beauty products,jab holding,
personal & skincare,johnson & johnson,
drugs,johnson & johnson,
eyecare,johnson & johnson,
baby products,johnson & johnson,
other (lactose free dairy),johnson & johnson,
perfume,loreal,
luxe products,loreal,
consumer products,loreal,
professional products,loreal,
wine & spirits,l.v.m.h.,
fashion & leather,l.v.m.h.,
perfume & cosmetics,l.v.m.h.,
watches & jewelry,l.v.m.h.,
retail lines (beauty),l.v.m.h.,
other (belmond, investir, etc.),l.v.m.h.,
luxury hotels,marriott,
premium hotels,marriott,
select hotels,marriott,
longer stay hotels,marriott,
vacation management,marriott,
pet food,mars,
candy,mars,
gum,mars,
pet services,mars,
packaged foods,mars,
stationery products,newell brands inc.,
baby,newell brands inc.,
outdoor & recreation,newell brands inc.,
food appliances/cookwear,newell brands inc.,
home & security,newell brands inc.,
other (slimjim, brute, spontex, etc.),newell brands inc.,
soda,pepsico,
flavored drinks,pepsico,
water,pepsico,
snacks,pepsico,
healthy snacks,pepsico,
breakfast,pepsico,
pre-made meals,pepsico,
oral care,procter & gamble,
personal & hygiene,procter & gamble,
home care,procter & gamble,
feminine products,procter & gamble,
health products,procter & gamble,
baby products,procter & gamble,
personal & skincare,unilever,
tea/health drinks,unilever,
home care,unilever,
ice cream,unilever,
cosmetics,unilever,
condiments & supplements,unilever,
hotels,wyndham,
homeware/appliances,whirlpool corporation,
international,whirlpool corporation,
other (yummly),whirlpool corporation,
